,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
13289,Broccoli,DRAM,1,0qy5D3OJre7SPJNMOL9I71,0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,225205,4
13290,Dangerous Woman,Ariana Grande,1,7l94dyN2hX9c6wWcZQuOGJ,0.662,0.602,4,-5.369,0,0.0401,0.0529,0,0.356,0.29,133.969,235947,3
13291,Jumpman,Drake and Future,1,7DH4e83LRgbABs6R7Eu7sF,0.808,0.396,4,-4.967,1,0.124,0.00297,0.925,0.114,0.888,142.002,216338,4
13292,"I Hate U, I Love U",Gnash,1,7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,251034,4
13293,Same Old Love,Selena Gomez,1,1BZG99C7Co1r6QUC3zaS59,0.672,0.593,11,-4.01,0,0.0304,0.0223,0,0.214,0.438,98.02,229080,4
13294,Controlla,Drake,1,3O8NlPh2LByMU9lSRSHedm,0.611,0.468,10,-11.084,0,0.179,0.0781,0,0.101,0.349,92.092,245227,4
13295,No,Meghan Trainor,1,7fCNUWi6uflDTQ08srxMZk,0.827,0.658,6,-3.846,1,0.0517,0.0224,0,0.0417,0.523,115.016,152862,4
13296,Never Forget You,Zara Larsson and MNEK,1,1txtZhpaCJoZG6ailUSpZq,0.492,0.273,11,-10.93,0,0.0539,0.928,0.95,0.319,0.13,146.034,216433,4
13297,Don't Mind,Kent Jones,1,27PmvZoffODNFW2p7ehZTQ,0.464,0.771,8,-4.503,1,0.336,0.0235,0,0.063,0.69,158.777,198237,4
13298,H.O.L.Y.,Florida Georgia Line,1,0BCy325UZyR9z0t0uxwn2N,0.523,0.666,7,-4.081,0,0.0327,0.401,0,0.0728,0.564,78.077,194187,4
13299,We Don't Talk Anymore,Charlie Puth,1,37FXw5QGFN7uwwsLy8uAc0,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,4
13300,Gold,Kiiara,1,6ZSO7kPn8IMJFymyticbJO,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5
13301,Exchange,Bryson Tiller,1,43PuMrRfbyyuz4QpZ3oAwN,0.53,0.433,6,-10.598,1,0.185,0.108,0,0.135,0.274,160.14,194613,4
13302,Oui,Jeremih,1,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,238320,5
13303,Hands to Myself,Selena Gomez,1,1LoriJC05IrHIDwj3q0KC1,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44E-06,0.342,0.466,111.016,200680,4
13304,2 Phones,Kevin Gates,1,0wdKiSBUT7aZkXUIdJWcwC,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,240000,4
13305,Starboy,The Weeknd,1,7MXVkk9YMctZqd1Srtv4MB,0.678,0.588,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.005,230453,4
13306,For Free,DJ Khaled,1,4JDZl9nKIAhAhDjw753u4X,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11E-06,0.153,0.498,103.521,183695,4
13307,Never Be Like You,Flume,1,5WI2ltQIdwgzf1SNE76JyR,0.444,0.557,0,-5.476,1,0.0602,0.453,0,0.152,0.296,115.058,234910,4
13308,In the Night,The Weeknd,1,25KybV9BOUlvcnv7nN3Pyo,0.505,0.68,7,-4.99,1,0.0713,0.0796,0,0.0465,0.539,168.021,235653,3
13309,Me Too,Meghan Trainor,1,3KwwE4sgCzMaKWq6QBebmX,0.934,0.694,11,-5.849,0,0.101,0.0962,1.20E-06,0.478,0.835,123.829,181240,4
13310,Die a Happy Man,Thomas Rhett,1,5kNe7PE09d6Kvw5pAsx23n,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39E-06,0.116,0.4,166.052,227427,4
13311,White Iverson,Post Malone,1,6eT7xZZlB2mwyzJ2sUKG6w,0.675,0.562,7,-7.678,1,0.0352,0.233,0,0.0816,0.309,130.098,256533,4
13312,Close,Nick Jonas,1,3lSDIJ2abCrOdDJ6pshUap,0.653,0.623,6,-5.273,0,0.082,0.253,0,0.144,0.401,123.999,234213,4
13313,Unsteady,X Ambassadors,1,7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,193547,4
13314,Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla $ign",1,4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491,4
13315,Down in the DM,Yo Gotti,1,1LxKKYsJNPeBdOwdudsJzv,0.776,0.662,1,-7.016,0,0.0489,0.00157,2.10E-05,0.0887,0.324,152.927,182733,4
13316,Luv,Tory Lanez,1,16Ah4QqH4mgYVXqfC4mdSd,0.539,0.528,11,-8.113,0,0.252,0.0108,0,0.117,0.252,190.169,228640,4
13317,Hymn for the Weekend,Coldplay,1,3RiPr603aXAoi4GHyXx0uy,0.49,0.743,0,-5.155,0,0.0409,0.255,7.21E-06,0.3,0.363,89.974,258827,4
13319,Antidote,Travis Scott,1,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4
13320,Lost Boy,Ruth B,1,4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,7,-15.099,1,0.0534,0.965,0,0.0889,0.348,123.994,275280,4
13321,Side to Side,Ariana Grande,1,1pKeFVVUOPjFsOABub0OaV,0.65,0.736,6,-5.84,0,0.229,0.0513,0,0.235,0.612,159.174,226160,4
13322,"Sit Still, Look Pretty",Daya,1,0EGuSSpuu9wmHCtvb4PdLO,0.657,0.739,2,-4.081,1,0.274,0.141,0,0.178,0.543,181.994,202221,4
